epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.7997,1.19657,3.01262,1.95615,1.44525,0.44107,0.31707,0.29518,0.1398,0.39357,0.28293,0.24846,0.10904,1.45788,3.25218,2.65413,1.73656,0.000655556,0.000655556,0.000655556
2,69.0549,1.17178,2.24288,1.51419,1.38927,0.08223,0.4,0.08053,0.03749,0.05681,0.23415,0.04341,0.01687,1.81552,4.91916,6.35682,1.98175,0.00129604,0.00129604,0.00129604
3,101.867,1.17575,2.27263,1.46417,1.39225,0.27573,0.30642,0.20921,0.07971,0.25611,0.26829,0.19681,0.07459,2.06987,4.71537,2.53417,2.17518,0.00191013,0.00191013,0.00191013
4,133.926,1.18405,2.2016,1.38856,1.41896,0.44759,0.50732,0.40677,0.18975,0.41707,0.46767,0.36,0.15717,1.68778,3.76437,2.25997,1.78985,0.0018812,0.0018812,0.0018812
5,165.302,1.15689,2.13396,1.34651,1.38516,0.34593,0.4,0.33102,0.17078,0.35858,0.41463,0.32077,0.13996,1.63967,3.37509,3.34172,1.77105,0.0018416,0.0018416,0.0018416
6,197.183,1.10734,2.03315,1.26398,1.3531,0.58286,0.50244,0.53024,0.30657,0.68432,0.47805,0.52095,0.26766,1.51206,3.6923,1.73953,1.66819,0.001802,0.001802,0.001802
7,230.786,1.08216,1.98958,1.22174,1.32245,0.55046,0.4878,0.51548,0.29061,0.5411,0.48315,0.49259,0.25347,1.45214,2.6001,2.00579,1.62368,0.0017624,0.0017624,0.0017624
8,262.582,1.07448,2.03966,1.17582,1.33822,0.48898,0.48544,0.45681,0.2511,0.45042,0.4878,0.41383,0.17593,1.48193,3.02862,2.03541,1.59085,0.0017228,0.0017228,0.0017228
9,294.482,1.00717,1.93511,1.12972,1.30048,0.56421,0.51156,0.51687,0.27644,0.57497,0.52132,0.53556,0.27204,1.40463,2.39397,1.99395,1.51868,0.0016832,0.0016832,0.0016832
10,325.778,1.0084,1.85996,1.09081,1.28298,0.64816,0.47628,0.54457,0.32891,0.64859,0.47805,0.53368,0.29281,1.46401,2.59906,1.57306,1.59216,0.0016436,0.0016436,0.0016436
11,357.345,1.02053,1.91565,1.08999,1.28956,0.58364,0.56098,0.53229,0.31243,0.59488,0.53659,0.53258,0.29362,1.47836,2.44198,1.6022,1.58643,0.001604,0.001604,0.001604
12,388.726,0.98158,1.86178,1.07258,1.26943,0.58043,0.60734,0.60431,0.36208,0.63202,0.56585,0.60434,0.34181,1.34274,2.45502,1.5127,1.44289,0.0015644,0.0015644,0.0015644
13,419.999,0.97846,1.85345,1.07662,1.25831,0.58054,0.56585,0.59011,0.32744,0.53957,0.55122,0.5561,0.30038,1.46766,2.42109,1.54693,1.5429,0.0015248,0.0015248,0.0015248
14,452.479,0.9504,1.82929,1.0324,1.25067,0.59062,0.58049,0.50366,0.28507,0.58541,0.54634,0.49933,0.27586,1.33818,2.40223,1.56671,1.4374,0.0014852,0.0014852,0.0014852
15,484.303,0.97448,1.82802,1.03436,1.25315,0.59773,0.59512,0.63087,0.35275,0.59556,0.59512,0.60944,0.33511,1.4872,2.21871,1.4946,1.57401,0.0014456,0.0014456,0.0014456
16,518.686,0.94214,1.76965,1.00858,1.2297,0.62731,0.59118,0.61198,0.37153,0.6419,0.6383,0.63396,0.36063,1.29962,2.14732,1.40651,1.44818,0.001406,0.001406,0.001406
17,550.425,0.91166,1.72299,0.96951,1.21123,0.5796,0.6,0.60241,0.37909,0.65413,0.55122,0.61869,0.35635,1.27116,2.11824,1.44761,1.41019,0.0013664,0.0013664,0.0013664
18,582.659,0.91354,1.69088,0.96847,1.21493,0.68969,0.57561,0.64296,0.40106,0.72161,0.57561,0.63886,0.362,1.26813,2.24306,1.40489,1.40894,0.0013268,0.0013268,0.0013268
19,615.423,0.93223,1.80736,1.0152,1.23073,0.66909,0.50244,0.58174,0.35505,0.64624,0.52683,0.59916,0.33015,1.321,2.14497,1.46437,1.4049,0.0012872,0.0012872,0.0012872
20,647.199,0.90086,1.70291,0.92423,1.21518,0.52433,0.62374,0.56808,0.34451,0.51883,0.61463,0.57034,0.32449,1.29271,2.21416,1.50955,1.39626,0.0012476,0.0012476,0.0012476
